hour,minute,day,load,temp
14,1,1,7.6,43.8
14,1,1,11.9,45.95
14,2,1,11.0,45.5
14,2,1,9.1,44.55
14,3,1,5.9,42.95
14,3,1,16.3,48.15
14,9,1,4.4,42.2
14,9,1,3.5,41.75
14,9,1,6.1,43.05
14,9,1,2.8,41.4
14,9,1,4.7,42.35
14,10,1,9.5,44.75
14,10,1,4.9,42.45
14,10,1,2.5,41.25
14,10,1,2.7,41.35
14,10,1,7.9,43.95
14,11,1,6.9,43.45
14,11,1,5.2,42.6
14,11,1,2.6,41.3
14,11,1,5.3,42.65
14,11,1,5.3,42.65
14,12,1,20.6,50.3
14,12,1,7.0,43.5
14,12,1,5.0,42.5
14,12,1,7.0,43.5
14,12,1,4.9,42.45
14,12,1,5.8,42.9
14,13,1,5.0,42.5
14,13,1,8.1,44.05
14,13,1,6.1,43.05
14,13,1,2.7,41.35
14,13,1,5.7,42.85
14,14,1,4.0,42.0
14,14,1,8.4,44.2
14,14,1,2.2,41.1
14,14,1,3.3,41.65
14,14,1,8.1,44.05
14,15,1,0.8,40.4
14,15,1,3.5,41.75
14,15,1,2.6,41.3
14,15,1,6.4,43.2
14,15,1,6.7,43.35
14,15,1,10.8,45.4
14,16,1,8.1,44.05
14,16,1,14.5,47.25
14,16,1,11.3,45.65
14,16,1,13.7,46.85
14,16,1,6.2,43.1
14,17,1,9.6,44.8
14,17,1,8.9,44.45
14,17,1,12.4,46.2
14,17,1,19.0,49.5
14,17,1,7.0,43.5
14,18,1,5.8,42.9
14,18,1,12.9,46.45
14,18,1,14.4,47.2
14,18,1,21.0,50.5
14,18,1,11.3,45.65
14,21,1,15.5,47.75
14,21,1,5.2,42.6
14,21,1,13.1,46.55
14,21,1,7.0,43.5
14,21,1,6.7,43.35
14,22,1,11.6,45.8
14,22,1,10.9,45.45
14,22,1,18.3,49.15
14,22,1,8.0,44.0
14,22,1,7.5,43.75
14,23,1,8.6,44.3
14,23,1,13.1,46.55
14,23,1,3.9,41.95
14,23,1,22.4,51.2
14,23,1,8.3,44.15
14,26,1,10.7,45.35
14,26,1,17.6,48.8
14,26,1,17.6,48.8
14,26,1,12.5,46.25
14,26,1,10.1,45.05
14,26,1,10.7,45.35
14,27,1,6.6,43.3
14,27,1,6.8,43.4
14,27,1,11.2,45.6
14,27,1,16.1,48.05
14,27,1,17.2,48.6
14,28,1,12.6,46.3
14,28,1,11.1,45.55
14,28,1,11.7,45.85
14,28,1,20.9,50.45
14,28,1,14.9,47.45
14,28,1,16.5,48.25
14,29,1,3.7,41.85
14,29,1,6.4,43.2
14,29,1,9.3,44.65
14,29,1,4.8,42.4
14,29,1,19.2,49.6
14,30,1,13.4,46.7
14,30,1,6.8,43.4
14,30,1,15.7,47.85
14,30,1,12.3,46.15
14,30,1,4.7,42.35
14,31,1,8.1,44.05
14,31,1,10.9,45.45
14,31,1,8.6,44.3
14,31,1,12.3,46.15
14,31,1,25.6,52.8
14,31,1,11.7,45.85
14,32,1,6.8,43.4
14,32,1,17.2,48.6
14,32,1,21.6,50.8
14,32,1,10.1,45.05
14,32,1,21.8,50.9
14,33,1,18.8,49.4
14,33,1,16.1,48.05
14,33,1,20.5,50.25
14,33,1,9.9,44.95
14,33,1,10.7,45.35
14,33,1,24.1,52.05
14,34,1,19.9,49.95
14,34,1,11.0,45.5
14,34,1,13.4,46.7
14,34,1,7.0,43.5
14,34,1,6.1,43.05
14,34,1,10.9,45.45
14,34,1,8.2,44.1
14,34,1,9.0,44.5
14,34,1,7.2,43.6
14,34,1,6.9,43.45
14,34,1,21.5,50.75
14,34,1,13.4,46.7
14,35,1,7.6,43.8
14,35,1,7.1,43.55
14,35,1,14.6,47.3
14,35,1,11.3,45.65
14,35,1,6.4,43.2
14,35,1,11.9,45.95
14,35,1,20.0,50.0
14,35,1,14.5,47.25
14,35,1,8.8,44.4
14,35,1,28.8,54.4
14,35,1,18.5,49.25
14,35,1,4.2,42.1
14,35,1,12.3,46.15
14,35,1,19.4,49.7
14,35,1,17.7,48.85
14,36,1,18.6,49.3
14,36,1,20.6,50.3
14,36,1,12.6,46.3
14,36,1,22.3,51.15
14,36,1,29.0,54.5
14,36,1,25.2,52.6
14,36,1,22.9,51.45
14,36,1,25.4,52.7
14,36,1,22.6,51.3
14,36,1,19.6,49.8
14,36,1,30.3,55.15
14,36,1,22.0,51.0
14,36,1,10.4,45.2
14,36,1,8.2,44.1
14,37,1,19.4,49.7
14,37,1,14.4,47.2
14,37,1,18.0,49.0
14,37,1,16.6,48.3
14,37,1,18.9,49.45
14,37,1,19.5,49.75
14,37,1,14.1,47.05
14,37,1,8.2,44.1
14,37,1,13.6,46.8
14,37,1,14.6,47.3
14,37,1,13.9,46.95
14,37,1,13.5,46.75
14,37,1,12.8,46.4
14,37,1,15.8,47.9
14,37,1,7.1,43.55
14,37,1,13.3,46.65
14,37,1,8.3,44.15
14,37,1,15.8,47.9
14,38,1,19.2,49.6
14,38,1,19.2,49.6
14,38,1,27.1,53.55
14,38,1,15.4,47.7
14,38,1,19.7,49.85
14,38,1,11.5,45.75
14,38,1,8.8,44.4
14,38,1,9.5,44.75
14,38,1,20.5,50.25
14,38,1,11.1,45.55
14,38,1,15.4,47.7
14,38,1,12.7,46.35
14,38,1,15.3,47.65
14,38,1,23.5,51.75
14,38,1,10.5,45.25
14,38,1,11.6,45.8
14,38,1,16.5,48.25
14,38,1,11.1,45.55
14,38,1,9.8,44.9
14,39,1,6.6,43.3
14,39,1,16.2,48.1
14,39,1,15.5,47.75
14,39,1,19.1,49.55
14,39,1,7.1,43.55
14,39,1,14.9,47.45
14,39,1,17.9,48.95
14,39,1,11.8,45.9
14,39,1,12.0,46.0
14,39,1,11.1,45.55
14,39,1,14.5,47.25
14,39,1,10.5,45.25
14,39,1,8.0,44.0
14,39,1,20.9,50.45
14,39,1,12.6,46.3
14,39,1,11.1,45.55
14,39,1,9.7,44.85
14,39,1,10.5,45.25
14,39,1,16.8,48.4
14,39,1,12.4,46.2
14,39,1,14.4,47.2
14,39,1,8.7,44.35
14,39,1,7.1,43.55
14,39,1,19.4,49.7
14,39,1,15.5,47.75
14,40,1,14.6,47.3
14,40,1,17.2,48.6
14,40,1,14.4,47.2
14,40,1,14.4,47.2
14,40,1,20.4,50.2
14,40,1,8.6,44.3
14,40,1,18.1,49.05
14,40,1,18.4,49.2
14,40,1,19.8,49.9
14,40,1,13.7,46.85
14,40,1,14.6,47.3
14,40,1,6.8,43.4
14,40,1,14.7,47.35
14,41,1,10.6,45.3
14,41,1,8.6,44.3
14,41,1,12.1,46.05
14,41,1,28.5,54.25
14,41,1,14.3,47.15
14,41,1,17.1,48.55
14,41,1,15.5,47.75
14,41,1,22.1,51.05
14,41,1,14.4,47.2
14,42,1,20.9,50.45
14,42,1,12.8,46.4
14,42,1,9.8,44.9
14,42,1,12.0,46.0
14,42,1,9.7,44.85
14,42,1,13.1,46.55
14,42,1,34.2,57.1
14,42,1,18.2,49.1
14,42,1,16.9,48.45
14,43,1,25.9,52.95
14,43,1,21.9,50.95
14,43,1,12.6,46.3
14,43,1,18.2,49.1
14,43,1,20.2,50.1
14,43,1,15.6,47.8
14,43,1,13.2,46.6
14,43,1,25.8,52.9
14,43,1,21.3,50.65
14,44,1,17.4,48.7
14,44,1,18.5,49.25
14,44,1,13.5,46.75
14,44,1,11.2,45.6
14,44,1,12.0,46.0
14,44,1,9.2,44.6
14,44,1,10.7,45.35
14,44,1,26.3,53.15
14,44,1,12.4,46.2
14,44,1,22.4,51.2
14,45,1,15.5,47.75
14,45,1,24.7,52.35
14,45,1,14.4,47.2
14,45,1,18.3,49.15
14,45,1,5.8,42.9
14,45,1,7.4,43.7
14,45,1,9.5,44.75
14,45,1,6.1,43.05
14,45,1,17.3,48.65
14,45,1,15.8,47.9
14,45,1,5.5,42.75
14,45,1,14.2,47.1
14,45,1,5.8,42.9
14,45,1,18.4,49.2
14,45,1,9.0,44.5
14,45,1,8.0,44.0
14,45,1,7.2,43.6
14,46,1,16.2,48.1
14,46,1,15.0,47.5
14,46,1,5.7,42.85
14,46,1,17.9,48.95
14,46,1,3.6,41.8
14,46,1,12.5,46.25
14,46,1,10.8,45.4
14,46,1,12.8,46.4
14,46,1,11.9,45.95
14,46,1,15.9,47.95
14,46,1,9.0,44.5
14,46,1,10.3,45.15
14,46,1,16.9,48.45
14,46,1,12.6,46.3
14,46,1,11.2,45.6
14,46,1,28.5,54.25
14,46,1,29.9,54.95
14,46,1,15.8,47.9
14,47,1,9.9,44.95
14,47,1,14.2,47.1
14,47,1,20.2,50.1
14,47,1,8.7,44.35
14,47,1,11.8,45.9
14,47,1,21.2,50.6
14,47,1,12.3,46.15
14,47,1,18.0,49.0
14,47,1,11.7,45.85
14,47,1,8.7,44.35
14,47,1,14.1,47.05
14,47,1,16.4,48.2
14,47,1,18.3,49.15
14,47,1,9.9,44.95
14,47,1,14.4,47.2
14,47,1,19.2,49.6
14,47,1,20.5,50.25
14,47,1,9.4,44.7
14,48,1,14.5,47.25
14,48,1,19.4,49.7
14,48,1,10.0,45.0
14,48,1,16.2,48.1
14,48,1,8.4,44.2
14,48,1,17.8,48.9
14,48,1,13.3,46.65
14,48,1,13.6,46.8
14,48,1,11.5,45.75
14,48,1,18.9,49.45
14,48,1,16.2,48.1
14,48,1,15.6,47.8
14,48,1,13.1,46.55
14,48,1,10.2,45.1
14,48,1,17.5,48.75
14,48,1,13.4,46.7
14,48,1,12.7,46.35
14,48,1,23.7,51.85
14,49,1,12.1,46.05
14,49,1,19.9,49.95
14,49,1,16.8,48.4
14,49,1,14.8,47.4
14,49,1,5.9,42.95
14,49,1,9.3,44.65
14,56,1,25.8,52.9
14,56,1,9.4,44.7
14,56,1,13.5,46.75
14,56,1,9.0,44.5
14,56,1,35.6,57.8
14,56,1,13.1,46.55
